Country,Approval of China Leadership,Approval of Germany Leadership,Approval of Russia Leadership,Approval of US Leadership,Confidence in Judicial System,Confidence in Military,Corruption in Government,Freedom of Media,Good place for Gay People,Good place for Minorities,Honesty of Elections,Move Away or Stay
Congo-Brazzaville (2024),0.685695465,0.488880632,0.557131268,0.407867482,0.992942387,0.999056477,0.983779414,0.87808157,0.931541422,0.822131059,0.983404432,0.901930064
Congo-Kinshasa (2024),0.617285214,0.647343,0.650684088,0.621318536,0.999923811,0.993631345,0.990259746,0.684575892,0.926908003,0.699292644,0.998550147,0.931205273
Costa Rica (2024),0.883978707,0.898617774,0.93288115,0.799538234,0.99143089,0.958357992,0.994053269,0.864973534,0.753435205,0.763122784,0.988180834,0.977978496
Cote D'Ivoire (2024),0.568979055,0.48562837,0.592211943,0.489146932,0.99738098,0.996262652,0.988904742,0.772261388,0.922150779,0.83631607,0.974760545,0.883383961
Croatia (2023),0.854638586,0.836484979,0.958349923,0.877643248,0.99520182,0.963837225,0.989468543,0.828537269,0.910288646,0.839485004,0.991810477,0.986677684
Cyprus (2024),0.820254263,0.887095215,0.855625904,0.936498584,0.974845341,0.95323041,0.981640843,0.834368453,0.827168393,0.695504238,0.862584738,0.974448998
Czech Republic (2024),0.882465862,0.923505533,0.967488185,0.788096732,0.979997801,0.918345107,0.984947026,0.877101307,0.801305251,0.864912671,0.898401452,0.997746386
Denmark (2024),0.824370582,0.705299975,0.954650083,0.792239193,0.932395983,0.969393939,0.939436307,0.944529417,0.870270134,0.824506296,0.98883303,0.940989478
Dominican Republic (2024),0.813031786,0.788238944,0.890173205,0.765512599,0.973421202,0.986062678,0.992716141,0.834121731,0.944058217,0.903281401,0.986132223,0.95809585
Ecuador (2024),0.838450878,0.780356582,0.881073589,0.681650793,0.991379485,0.889404128,0.982580567,0.847581565,0.691955731,0.594862427,0.993924182,0.991546745
Egypt (2024),0,0,0,0,0,0,0,0.55419673,0,0.901491789,0.753782803,0.978016013
El Salvador (2024),0.828398658,0.865784502,0.869589927,0.866551542,0.978195495,0.996639508,0.993125119,0.870168874,0.858078763,0.867498147,0.974053691,0.986571602
Estonia (2024),0.918693844,0.92465993,0.972936743,0.828924568,0.938071752,0.881204486,0.966238577,0.892693273,0.912429117,0.8303691,0.9762762,0.981495455
Eswatini (2023),0.78441958,0.864711048,0.926253304,0.701207701,0.983429664,0.989486776,0.98763531,0.908760892,0.813457113,0.805194585,0.992825645,0.936534012
Ethiopia (2023),0.639166772,0.742685998,0.795921606,0.755012215,0,0,0.84470076,0.588926671,0,0,0,0.970947899
Finland (2024),0.783962769,0.79352396,0.955322471,0.817245672,0.978583124,0.900863881,0.9179343,0.888681888,0.786857499,0.764796776,0.93543684,0.986963669
France (2024),0.892153166,0.667300192,0.953890446,0.789910853,0.984700243,0.826228197,0.984775659,0.806030599,0.660942882,0.593432913,0.959736853,0.998401236
Gabon (2023),0,0,0,0,0,0,0,0,0.955652793,0.84191987,0,0.973488132
Gambia (2023),0.723363703,0.873042735,0.800765825,0.664007453,0.894062036,0.905286495,0.998449414,0.62357005,0.977476793,0.901034052,0.944339001,0.965388035
Georgia (2024),0.864211842,0.799829104,0.959856786,0.804197384,0.981200187,0.9035495,0.9553147,0.862929617,0.941395283,0.533589357,0.994487745,0.995201357
Germany (2024),0.746618164,0,0.938179647,0.680392355,0.958729872,0.980221171,0.915988471,0.873269291,0.792617398,0.67279961,0.958999985,0.998471597
Ghana (2023),0.559580407,0.544805892,0.742633244,0.462885901,0.958774508,0.798402379,0.995323054,0.670162699,0.938461381,0.748721468,0.976350194,0.955032522
Greece (2024),0.851696625,0.927699175,0.898397117,0.913923513,0.99681349,0.839408211,0.995292355,0.986438632,0.787934868,0.791909652,0.927642238,0.974137944
Guatemala (2024),0.836224363,0.802087042,0.878781378,0.731995399,0.989186189,0.952744126,0.999172899,0.716329467,0.753706123,0.564094963,0.996962242,0.979694629
Guinea (2023),0.428062293,0.35789364,0.496903587,0.343766397,0.9994733,0.997279415,0.99239012,0.607586087,0.886093633,0.82776302,0.985473977,0.890935496
Haiti (2018),0.789665355,0.723091104,0.774961657,0.675261304,0.954756311,0.969246853,0.960706029,0.649698508,0.868839224,0.805055063,0.981689532,0.992979583
Honduras (2024),0.818054648,0.860981396,0.889709629,0.726544839,0.98305327,0.957561201,0.983838496,0.707032859,0.719922995,0.542429815,0.986786022,0.996264387
Hong Kong (2023),0.983413783,0.560528624,0.770049343,0.712124605,0.997386967,0.983597182,0.937304725,0.956757115,0.986494789,0.835721424,0.989981329,0.982297155
Hungary (2024),0.815148746,0.929521674,0.913370444,0.864805305,0.978274005,0.967772925,0.974360347,0.958596591,0.845499499,0.777511833,0.974187194,0.985415944
Iceland (2024),0.833443898,0.699323966,0.899695503,0.98128163,0.94136346,0.776632666,0.99341502,0.856313337,0.711358343,0.696859486,0.801875398,0.985878764
India (2023),0.821986336,0.668110771,0.74432992,0.704055232,0.99611832,0.966607557,0.908577684,0.576598929,0.554121365,0.873396223,0.977866467,0.939474118
Indonesia (2023),0.65376333,0.520140952,0.606138634,0.650140306,0.989532513,0.996923728,0.843898584,0.71513244,0.956445539,0.798171686,0.983810049,0.971501983
Iran (2023),0.75819137,0.715308007,0.800477766,0.94781058,0.987611524,0.846638526,0,0,0,0,0.969929532,0.987417363
Iraq (2023),0.499728702,0.355784782,0.611949503,0.766624048,0.98351407,0.91674268,0.96252332,0.659790182,0,0.756596596,0.962669949,0.968493909
Ireland (2024),0.8209065,0.768786252,0.921350541,0.92631663,0.999321532,0.984761301,0.99095647,0.970546236,0.891112573,0.794390806,0.965454185,0.992751182
Israel (2024),0.842507266,0.794000123,0.854841303,0.625011722,0.974983387,0.944676217,0.98908871,0.916783002,0.972446736,0.993870736,0.936364545,0.990311963
Italy (2024),0.841769968,0.773521746,0.898207071,0.821982212,0.969545307,0.830559228,0.9846021,0.908009256,0.770849638,0.686423389,0.923845186,0.997129281
Jamaica (2022),0.845558901,0.902551315,0.912839995,0.685620593,0.985222686,0.900777608,0.987944217,0.74209613,0.882256554,0.694179075,0.991911077,0.950462489
Japan (2023),0.907354875,0.716087104,0.919704029,0.701069067,0.937296487,0.830688616,0.990163315,0.864358312,0.944504874,0.855276324,0.969105424,0.978445259
Jordan (2023),0.818548292,0.624791824,0.890544737,0.871169274,0.815195072,0.853685708,0.705911179,0.604498014,0,0.90963822,0.842864311,0.957835691
Kazakhstan (2024),0.786497532,0.596498853,0.851979199,0.708518078,0.984863506,0.992097169,0.934431489,0.846894461,0.858059724,0.960505446,0.9129513,0.953643814
Kenya (2023),0.616044581,0.637371785,0.774925879,0.656083539,0.985848584,0.9329954,0.996900506,0.799953834,0.862074622,0.723704763,0.990857446,0.910471963
Kosovo (2023),0.764403158,0.579056781,0.808616566,0.353888092,0.992626744,0.877751658,0.951047922,0.746564909,0.89073956,0.900464292,0.993858131,0.970439957
Kuwait (2023),0.366622425,0.269133156,0.530754672,0.585640629,0.971798851,0,0,0,0,0,0,0.850290114
Kyrgyzstan (2024),0.77084913,0.52050721,0.614706641,0.660433227,0.932488763,0.991936471,0.813104949,0.603893629,0.859097611,0.955559858,0.930929245,0.973294341
Lao (2023),0.770956567,0.698579771,0.775746684,0.808575047,0,0,0,0.451864545,0.650789565,0.670690576,0,0.987666109
Latvia (2024),0.929690519,0.901817391,0.964064335,0.77724469,0.961001567,0.87118425,0.99441223,0.913173837,0.849068676,0.760760257,0.941779503,0.991383015
Lebanon (2024),0.753734152,0.655604001,0.82559911,0.850639922,0.958949356,0.406799698,0.981784011,0.616654073,0.95750645,0.781483704,0.981061483,0.895091904
Lesotho (2022),0.760268785,0.797776162,0.853041556,0.613263982,0.969018217,0.883895235,0.99750733,0.620035837,0.728688336,0.729306804,0.971993238,0.96566374
Liberia (2023),0.654901563,0.5275371,0.707618051,0.552530629,0.988178383,0.991228761,0.9900582,0.710159101,0.917797884,0.780104329,0.970039177,0.931735236
Libya (2024),0.46825335,0.384075433,0.498604995,0.7615696,0.992075345,0,0.730610522,0.746351279,0,0.98306726,0.962707541,0.931826536
Lithuania (2024),0.862340755,0.886674112,0.955204505,0.791271511,0.991080795,0.884653514,0.978339213,0.956567097,0.955929726,0.809627759,0.92156862,0.991687163
Luxembourg (2023),0.690480907,0.961353068,0.948424844,0.876125777,0.991746921,0.996476437,0.96251931,0.978342518,0.844404259,0.805459295,0.997906418,0.916373081
Macedonia (2023),0.793043349,0.656399622,0.814182537,0.785616875,0.994578111,0.792430527,0.990191773,0.786530544,0.956758214,0.730783678,0.992461874,0.989363632
Madagascar (2024),0.634151646,0.571374188,0.627797693,0.584528376,0.994935828,0.996252086,0.991857816,0.67697816,0.866750157,0.780956785,0.998431215,0.999854263
Malawi (2023),0.624939115,0.698598732,0.804581721,0.671557951,0.953152767,0.893530797,0.947319374,0.521496119,0.98416121,0.614093312,0.997436143,0.989990448
Malaysia (2023),0.889846321,0.866399836,0.875826463,0.871088741,0.982207062,0.891387035,0.972033821,0.812749535,0.955251303,0.914280134,0.996553586,0.978597988
Maldives (2017),0,0,0,0,0,0,0,0,0,0,0,0.942867092
Mali (2024),0.463939791,0.518302459,0.295412467,0.630226908,0.980436297,0.973081468,0.973378547,0.540784855,0.948100842,0.74918466,0.952111374,0.879480809
Malta (2024),0.776675104,0.860770164,0.848720297,0.939460551,0.985608351,0.880651128,0.989196527,0.937471668,0.740174845,0.784299174,0.992078412,0.999053845
Mauritania (2024),0.744979686,0.577347442,0.684017031,0.644682593,0.998655303,0.989519252,0.984945013,0.767912603,0.933607457,0.898331393,0.992719298,0.953175556
Mauritius (2024),0.783178893,0.663479549,0.838844747,0.688323037,0.983233545,0.956905641,0.975167467,0.996238132,0.759642257,0.81633139,0.998828257,0.996369561
Mexico (2024),0.828077321,0.823748129,0.864857554,0.905155584,0.989765647,0.997640074,0.993306739,0.90599091,0.651505513,0.87071349,0.992348083,0.987299852
Moldova (2024),0.779975186,0.795959925,0.870723937,0.75635246,0.989764233,0.981860565,0.973961474,0.850336732,0.969033844,0.742086531,0.97923641,0.994455991
Mongolia (2024),0.712864339,0.479998715,0.62120297,0.531763901,0.994993135,0.853205861,0.992228575,0.889157133,0.912617394,0.736618446,0.995886946,0.907654104
Montenegro (2023),0.727594852,0.79113793,0.742788469,0.810658983,0.984778593,0.989839139,0.969699861,0.906621984,0.983208052,0.871621631,0.986367013,0.992754395
Morocco (2024),0.731422951,0.81021312,0.864438051,0.793339806,0,0,0,0.715772056,0,0,0,0.972923637
Mozambique (2023),0.730873607,0.556206789,0.656247178,0.586426454,0.989193073,0.992139179,0.926286382,0.633510307,0.632513876,0.832623877,0.995060903,0.881429401
Myanmar (2024),0.867777609,0.701573513,0.786134489,0.596212531,0.96651432,0,0.979119733,0.703012285,0.540019981,0.499830431,0.979205423,0.978454231
Namibia (2023),0.703223878,0.683464787,0.69286134,0.742061633,0.985373684,0.985908924,0.970323195,0.635049143,0.859069124,0.820910212,0.982763848,0.978664956
Nepal (2024),0.694517728,0.792102336,0.787157125,0.679383513,0.975487474,0.878170464,0.976273748,0.664066831,0.294743165,0.572142215,0.995375025,0.98618102
Netherlands (2024),0.779971442,0.790916937,0.933241462,0.781406546,0.967015876,0.974949767,0.964224907,0.917366981,0.852789297,0.792531702,0.918868067,0.992366076
New Zealand (2024),0.818330793,0.675192808,0.890335871,0.815716447,0.994941841,0.942759666,0.925089761,0.940221495,0.835094406,0.651394525,0.942706975,0.990347869
Nicaragua (2023),0.76518692,0.815826634,0.829626854,0.848589503,0.98224584,0.987393998,0.99793049,0.810878916,0.804970588,0.769204148,0.994843508,0.969811952
Niger (2024),0,0,0,0,0,0,0,0,0.903624285,0.613552318,0,0.982477009
Nigeria (2023),0.435079733,0.478850506,0.657353132,0.426177713,0.974749823,0.882818009,0.986166272,0.76470396,0.894863645,0.722439711,0.997481785,0.975685234
Norway (2024),0.796120645,0.669680699,0.975127528,0.846507357,0.931246793,0.904575838,0.975124237,0.87679771,0.725487945,0.721902074,0.895205314,0.992397122
Oman (2024),0,0,0,0,0,0,0,0,0,0,0,0.913569587
Pakistan (2023),0.516177452,0.748374191,0.793969281,0.843994357,0,0,0.985395265,0.632118501,0,0.620197168,0.952579304,0.994294477
Palestine (2024),0.824633897,0.80369176,0.837432063,0.974170454,0.970267807,0.995850287,0.981267157,0.841714492,0.885945899,0.742628676,0.996389544,0.992526242
Panama (2024),0.832864582,0.844547924,0.887097591,0.865499416,0.992421054,0.984771185,0.924013152,0.866882127,0.867235656,0.892541616,0.995125632,0.969175086
Paraguay (2023),0.866640402,0.812254632,0.872279469,0.744508544,0.975605573,0.986905244,0.971775902,0.854998313,0.88102356,0.828315485,0.964497131,0.964357751
Peru (2023),0.815391975,0.830942183,0.828496625,0.797250233,0.993829778,0.902719941,0.997316849,0.731790803,0.760379343,0.558062848,0.991375684,0.998425182
Philippines (2023),0.660114684,0.461418755,0.634898385,0.507446254,0.986889752,0.99498822,0.898336216,0.940055024,0.832229094,0.953769964,0.990141275,0.935352312
Poland (2024),0.851966221,0.891935813,0.946117884,0.479330349,0.993683227,0.913286579,0.944199837,0.947030318,0.921230354,0.942793997,0.953661768,0.986368041
Portugal (2024),0.820165233,0.729784646,0.886956619,0.711236207,0.992159835,0.894438233,0.973211669,0.822679741,0.809673551,0.687446318,0.914255141,0.988368069
Puerto Rico (2022),0.956351144,0.920408776,0.971943991,0.802914681,0.993534876,0.78272718,0.995796464,0.760312908,0.530389905,0.513371645,0.987800022,0.999189362
Romania (2024),0.881394788,0.802135256,0.92919357,0.826872944,0.971309967,0.846455821,0.985829447,0.790450214,0.942274452,0.664884124,0.981011864,0.990918733
Russia (2024),0.580630557,0.67041403,0,0.910696922,0.980701759,0.992411869,0.987433969,0.71257157,0,0.737738923,0.99301827,0.995212779
Rwanda (2019),0,0,0,0,0.979130168,0.994981505,0.968924181,0.468215916,0,0,0.998093798,0.899639378
Saudi Arabia (2024),0,0,0,0,0,0,0,0,0,0,0,0.92843715
Senegal (2023),0.625626035,0.67035858,0.652778286,0.604153867,0.969314185,0.891731976,0.981705901,0.776014531,0.984805586,0.722305033,0.994464826,0.896241902
Serbia (2024),0.61600922,0.907168587,0.688006089,0.903188242,0.991039337,0.941686529,0.979736019,0.953204159,0.952521037,0.781784424,0.994060055,0.999191569
Sierra Leone (2023),0.589491871,0.573571011,0.690259031,0.413888485,0.995887718,0.991274672,0.995410687,0.715313986,0.875884854,0.720683872,0.996893257,0.966060095
Singapore (2024),0.794421575,0.647591411,0.818154953,0.758564525,0.998177331,0.99163416,0.990686648,0.859125387,0.924186616,0.938820088,0.986723483,0.947276195
Slovakia (2024),0.780519029,0.935498597,0.883793141,0.838494081,0.989988212,0.944113213,0.939991818,0.929987746,0.92478659,0.772025881,0.941223671,0.999932807
Slovenia (2024),0.865916134,0.940998902,0.926637861,0.889234612,0.976261277,0.886173189,0.984742296,0.8899591,0.795861109,0.724965509,0.908929411,0.996176408
Somalia (2023),0.857106233,0.786751745,0.861685512,0.861776583,0.9922594,0.996794796,0.98219737,0.564778239,0,0.652798565,0.994190536,0.960028598
South Africa (2023),0.675633066,0.754578872,0.758048436,0.649249954,0.956311012,0.956992852,0.983160964,0.813152669,0.675009115,0.772739252,0.99283823,0.978377531
South Korea (2023),0.907014776,0.615334745,0.934712669,0.696613488,0.990419823,0.93619228,0.99052145,0.875068867,0.967849537,0.663317394,0.987252183,0.989807516
South Sudan (2017),0.697864,0.79520773,0.858081342,0.569904495,0.977649525,0.99938358,0.92633579,0.763295724,0.846752486,0.767673833,0.951648726,0.998864603
Spain (2024),0.874301587,0.690076767,0.940634107,0.820285542,0.995310544,0.842156771,0.99266867,0.911410443,0.659614879,0.625522643,0.966386082,1
Sri Lanka (2023),0.675263335,0.717056175,0.696426202,0.659992682,0.925470999,0.864205443,0.977425085,0.836489703,0.769424413,0.588302055,0.993964503,0.992329524
Sweden (2024),0.801920253,0.713245501,0.983735459,0.876620003,0.966129127,0.905960804,0.902545526,0.9266631,0.84040822,0.707513791,0.866915445,0.989716465
Switzerland (2024),0.670672468,0.727553795,0.908836898,0.800116919,0.999606315,0.992232375,0.996984305,0.979539805,0.872047612,0.797393363,0.992452124,0.994171014
Taiwan (2024),0.981660043,0.753425033,0.876424766,0.847874666,0.982470293,0.989548576,0.980398949,0.901652972,0.992530814,0.865679766,0.999312774,0.985388307
Tajikistan (2024),0.697482387,0.603651235,0.531255101,0.76160766,0,0,0,0,0,0.863997195,0,0.976584455
Tanzania (2024),0.421477089,0.378132938,0.46623666,0.507222934,0.999936903,0.99988915,0.989790956,0.500540944,0,0.745737048,0.982710643,0.918858086
Thailand (2023),0.798932241,0.808708326,0.882889392,0.782879584,0.9840129,0.973158055,0.921752536,0.674728462,0.722010343,0.873772387,0.994858401,0.997465213
Togo (2023),0.502802245,0.405014364,0.501301474,0.361188961,0.995679816,0.973375923,0.976651073,0.854371192,0.951991635,0.821107998,0.982294113,0.940498113
Trinidad and Tobago (2017),0.856700919,0.836659174,0.818599179,0.933629697,0.983265129,0.931558621,0.996423809,0.764119502,0.784077934,0.577050612,0.986619588,0.999873363
Tunisia (2023),0.77255546,0.641572478,0.757007312,0.80574964,0.980159065,0.70214961,0.995598357,0.554766318,0,0.959478149,0.991011995,0.999879536
Turkey (2023),0.876041321,0.747659601,0.820146938,0.881013144,0.99500434,0.904446245,0.945713624,0.828415473,0.780339835,0.849796377,0.990743908,0.967439032
Turkmenistan (2019),0.394235436,0.325749451,0.321854999,0.49990757,0,0,0,0,0,0,0,0.957667742
UAE (2023),0,0,0,0,0,0,0,0,0,0.995845738,0,0.863892618
UK (2024),0.915115478,0.619376207,0.974684634,0.855801295,0.926453564,0.871913195,0.938158372,0.75053194,0.652358534,0.543317652,0.927571165,0.99933939
USA (2024),0.890307686,0.651412894,0.95684522,0,0.978209646,0.935690075,0.98414224,0.780270297,0.741423783,0.535065485,0.910799414,0.995994058
Uganda (2024),0.797664623,0.819666179,0.8621004,0.72029946,0.949129892,0.982222027,0.960408054,0.829695834,0,0.771205859,0.974879286,0.929589804
Ukraine (2024),0.93950916,0.799445081,0.986116396,0.792835895,0.980067653,0.635673985,0.990957545,0.876815408,0.693710867,0.577047574,0.982110055,0.978185606
Uruguay (2023),0.926736172,0.928248688,0.960144402,0.869678075,0.990323475,0.981657127,0.997598222,0.940261439,0.742524642,0.749169581,0.979454168,0.989058578
Uzbekistan (2024),0.867424015,0.628060321,0.650910728,0.758154192,0.982867854,0,0,0.386451985,0,0.850896063,0,0.958716903
Venezuela (2023),0.908018768,0.865449158,0.937096583,0.838916976,0.994812587,0.994556476,0.990425484,0.716709878,0.692976736,0.657932569,0.997621393,0.988867257
Vietnam (2024),0.587698989,0.258703975,0.240950501,0.391189579,0,0,0,0,0.73875426,0.891638421,0,0.977126383
Yemen (2023),0.588305193,0.321211893,0.580320418,0.82009849,0.90830838,0,0.890126648,0.802692916,0,0.852902541,0.861715242,0.966597793
Zambia (2024),0.874338365,0.846415962,0.911882197,0.682657268,0.980347462,0.977061096,0.991910629,0.656135848,0.942991477,0.655875718,0.983918702,0.865951043
Zimbabwe (2023),0.654580707,0.565712597,0.687298275,0.533175739,0.984354904,0.989716087,0.99193347,0.608278924,0.958797409,0.75583271,0.990847169,0.885111288
