country,mean_SJSD_ET,mean_SJSD_Baseline,delta
Romania (2024),0.981130942,0.884394265,0.096736677
Russia (2024),0.988545798,0.856083065,0.132462734
Rwanda (2019),0.986293481,0.884830825,0.101462657
Saudi Arabia (2024),0.983676105,0.92843715,0.055238955
Senegal (2023),0.960959937,0.814125059,0.146834878
Serbia (2024),0.976892922,0.892299606,0.084593317
Sierra Leone (2023),0.984613313,0.793718295,0.190895018
Singapore (2024),0.979075576,0.887946864,0.091128712
Slovakia (2024),0.984189183,0.906696232,0.077492951
Slovenia (2024),0.985139364,0.898821317,0.086318046
Somalia (2023),0.989586232,0.864578871,0.125007362
South Africa (2023),0.982270438,0.830507663,0.151762775
South Korea (2023),0.982578971,0.879508727,0.103070244
South Sudan (2017),0.982376041,0.846055153,0.136320888
Spain (2024),0.980700382,0.859864003,0.120836379
Sri Lanka (2023),0.98883813,0.808029177,0.180808953
Sweden (2024),0.982467287,0.873447808,0.109019479
Switzerland (2024),0.982838641,0.894300583,0.088538058
Taiwan (2024),0.978696477,0.929697247,0.04899923
Tajikistan (2024),0.987940578,0.739096339,0.248844239
Tanzania (2024),0.987691238,0.719139396,0.268551842
Thailand (2023),0.976690458,0.867930653,0.108759805
Togo (2023),0.95471289,0.772189742,0.182523148
Trinidad and Tobago (2017),0.986116603,0.872381461,0.113735143
Tunisia (2023),0.969767114,0.83272072,0.137046394
Turkey (2023),0.98599681,0.882229986,0.103766824
Turkmenistan (2019),0.933222531,0.49988304,0.433339492
UAE (2023),0.97299844,0.929869178,0.043129262
UK (2024),0.977918868,0.831218452,0.146700415
USA (2024),0.970136104,0.850923709,0.119212395
Uganda (2024),0.98515517,0.872441947,0.112713223
Ukraine (2024),0.988567622,0.852706269,0.135861353
Uruguay (2023),0.983442795,0.921237881,0.062204914
Uzbekistan (2024),0.974727167,0.760435258,0.214291909
Venezuela (2023),0.98664455,0.881948655,0.104695895
Vietnam (2024),0.955955107,0.583723158,0.372231949
Yemen (2023),0.987739872,0.759227951,0.228511921
Zambia (2024),0.979050892,0.864123814,0.114927078
Zimbabwe (2023),0.970248987,0.80046994,0.169779047
